sentence,classify
  Much progress has been seen in terms of achieving the MDGs in the 15   years of its implementation but there remain disparities across geographic locations and population   groups in most of these targets,SDG5
 Bangabandhu Academy for Poverty Alleviation and Rural Development BAPARD  5,SDG3
 Consequently   Malaysia’s health indicators are almost at par with levels    of developed countries Figure 5,SDG17
  In 2014 the research  effort was equivalent to 2,SDG6
 Internationally encourage inclusive sound and resilient urban development         ISSUES AND ACTIONS      IN FRANCE   At a time when cities are continuing to grow rapidly by  expanding towards peripheral areas the development of  more sustainable cities is a major challenge in order to  improve residents’ quality of life in terms of housing  transport and services ensure thriving  economic activity and limit the artificialisation  of land the consumption of resources and  the deterioration of air quality and the  environment,SDG11
   SDGs are inherently futuristic in nature and as such it is important to engage the young  leaders in the process,SDG2
 While the   Interface will strengthen cooperation between academia and businesses in order to enable Portugal to   capitalize the potential of knowledge in order to create economic value the Industry 4,SDG8
 Limited fiscal space with the bulk of fiscal revenues going towards funding recurrent  expenditures,SDG10
 It is targeted that in 2019 to reach   100  of the universal service obligation USO area,SDG4
 To elaborate on our proposal this department would need to be interministerial and interdepartmental and it would be best if the authority could draw its  authority directly from the government leadership,SDG3
 Apart from the international  consultation process on SDGs TurkStat has also been involved also in regional  initiatives and consultation processes mainly conducted by the UN Economic  Commission for Europe UNECE,SDG17
a and funded the International   Peace Information Service project that will undertake a   largescale mobile data collection exercise for mapping   the socioeconomic and human rights situation of artisanal   and industrial mining in Northwest Tanzania,SDG5
           70   2 Indonesia has one of the highest biodiversity,SDG7
orgwikiSustainabledevelopment         99    Measures and submeasures defined within the framework of the NSSD 2030   strategic goal „Increase the level of competitiveness of Montenegrin   economy for sustainable development and green jobs” create the   assumption for the implementation of the sustainable development targets   17,SDG12
 The exchange of experience and  mutual learning processes are intensified in order to foster developmental and transformational efforts,SDG16
  ARI is also a partner in the “Trust project” for collecting protecting and preparing crop wild  relatives,SDG5
    7  Institutional transition towards  effective implementation  and followup  During the 2016–17 transition phase the alignment  of Swiss sustainability policy with the 2030 Agenda will be further developed,SDG2
       Yet despite these challenges our people found strength resilience to overcome the difficulties optimism   to work and build their future,SDG17
           74   Ecological footprint   According to the results the application of the calculation of the ecological   footprint in Montenegro for the period 20062015  shows a notable increase    45 in environmental footprint of Montenegro 2739 gha per capita compared   to the almost constant biocapacity 2,SDG4
 As part of this effort a Toolbox is being   developed iteratively based on needs and issues   identified through member country national   workshops and the partnership network,SDG17
     The process of developing and adjusting the SDG indicators drew on the data from sectoral and multisectoral  policy documents developed on a national level,SDG17
 One of the ways in which this will happen  at national level is through the specific targets  defined in the Sustainable Development Strategy  2016–2019 which was adopted by the Federal  Council in January 2016 and which refers to the  SDGs,SDG12
2  Researchers in fulltime equivalent  per million inhabitants   Per  million  inhabitant s   100 ,SDG8
 The avail able support is used effectively and efficiently in the interests of those who need it,SDG4
 So far the compilation of the indicators of sustainable development  has been focused on implementation of the main goals of Estonias Sustainable Development  Strategy viability of the Estonian cultural space growth of welfare social coherence and  ecological balance,SDG3
 When the Gross Domestic   Product GDP is divided by the absolute value of DMC it results in Resource   Productivity indicator RP,SDG17
   SDG 15 Protect restore and promote sustainable use of terrestrial ecosystems  sustainably manage forests combat desertification and halt and reverse land  degradation and halt biodiversity loss    Measures and submeasures defined within the framework of the NSSD 2030   strategic goal “Stop degradation of values of renewable natural   resources biodiversity water air land“ create the assumption for the   implementation of the sustainable development targets 15,SDG15
 Kenya possess significant potential  sources for power generation in geothermal wind and biomass energy,SDG7
    Goal 16 Promote Peaceful and Inclusive Societies for Sustainable   Development Provide Access to Justice for all and Build Effective  Accountable and Inclusive Institutions at all levels     Progress has been made in the following areas the number of victims of intentional homicide  per 100000 population was 6 by 2014,SDG11
  Good partner alignment with country results  frameworks needs to be matched by greater use  Focus on results    2016 MONITORING FINDINGS AT A GLANCE 30  © OECD UNDP 2016 MAKING DEVELOPMENT COOPERATION MORE EFFECTIVE 2016 PROGRESS REPORT  How strong are countries’ budgetary and  public financial management  systems  What progress have countries made in  strengthening their systems 201015   Number of countries that have improved   their country systems since 2010  Number of countries with   weak CPIA score   Number of countries with   moderate CPIA score   Number of countries with   strong CPIA score   Number of countries that have not seen any  change in the quality of their country systems  Number of governments that have  experienced a decline in the quality   of their country systems  2015 target Half of the countries improve  by at least one step in the Country Policy and  Institutional Assessment score for quality of  budgetary and public financial management,SDG4
  After the adoption of SDGs in September 2015 United Nations Statistical  Commission UNSC has accomplished its mandate and adopted the global  indicator list at its 47th session in March 2016,SDG17
 In May 2016 the system’s reference  framework was amended in order to be ready to  take into account the 2030 Agenda and the SDGs  thus laying the foundation for both national and  international reporting,SDG4
06 Expenditure by  COFOG based on  fiscal year  while  GDP is by calendar  year    2 2,SDG3
 Strategies for ensuring healthy lives and  promote wellbeing for all   The Government of Bangladesh recently March 21  2017 approved a mega programme for the HNP sector development,SDG11
  9  11  13  15  17  19  21  23  201615141312111009080706050403020100  Belgium  Source Eurostat  EU28 Objective 2030  Chart 22,SDG11
 The public share in funding of Gross Domestic Expenditure on Research and  Development GERD was 56,SDG10
                                                           8        Chapter 3   3,SDG1
  OECD 2011c “Implementing the 2001 DAC Recommendation on Untying Aid 20102011 review” DCDDAC20114REV1 OECD   Paris www,SDG3
 This distinguishes the measurement of the extent to which government budgets reflect ex ante aid estimates  Indicator 6 from the measurement of predictability that is the extent to which scheduled funds are actually disbursed or the realism of estimates  captured by Indicator 5a,SDG3
    62  through national and by way of last resort international   channels,SDG14
 The Government has adopted a  National Waste Management Strategy based on four policy pillars planning  education resourcing and legislation,SDG17
 Sector performance   Power sector As a result of strong commitment of the Government power generation  capacity has reached 15379 MW in FY17,SDG2
    Belgium supports CSOs in the implementation of various   projects on sustainable forest management,SDG10
  Moreover the country has committed to reducing  nontrading system emissions by 5 by 2020 through the EU Effort Sharing Regulation and  according to projections as a result of such policy measures it is anticipated that emissions in  Cyprus will be reducing by 5 annually during the following years,SDG17
  Finland has long traditions in the tripartite development of society whereby  structural reforms and key legislation concerning working life and social  security are prepared through joint negotiations between the Government and  labour market organisations,SDG4
   The greatest resource productivity is witnessed in agriculture and fishery € 1,SDG8
     France also works on building the capacities of national  health systems to increase their resilience to crises a  weakness tragically illustrated by the Ebola epidemic in  2015,SDG4
   In the context of the Europe 2020 Strategy the Green Paper 2001 and the Directives on Public Procurement   and Concessions of 2014 public procurement is identified as an instrument of high potential for policy   integrating economic social and environmental factors,SDG4
       v One of the lessons learnt from the MDGs era is that there was no clarity on how goals were   set and inconsistencies between goals targets and indicators were not adequately   addressed which makes their application difficult,SDG4
   In the context of the work being done by the National Commission for UNESCO in the field of education for   sustainable development we highlight in particular the Educational Programme “GEA – Mother Earth” with   training courses on the 2030 Agenda the preparation of an Educational Kit Education for Global Citizenship –   cooperation with the CPLP schools” the adoption of a Training Manual “Getting climateready” for teachers at   UNESCO and the creation of UNESCO Chairs “The Oceans Cultural Heritage” along with Brazil Cape Verde   Colombia and Spain and “Geoparks Sustainable Regional Development and Healthy Lifestyles” with Angola   Argentina Brazil Chile Spain Mexico Mozambique at university level,SDG4
 Bangladesh was  among the few countries in the world where female life expectancy was lower than male,SDG12
  THE 10YFP SUSTAINABLE FOOD  SYSTEMS PROGRAMME  The Rio20 Conference reaffirmed that sustainable consumption  and production is a cornerstone of sustainable development and  established the 10 Year Framework of Programmes on sustainable  consumption and production 10YFP in order to decouple economic  growth from the rising rates of natural resource use and the environmental impacts,SDG12
 This will enable Zimbabwe  to achieve greater development outcomes considering of the imperatives on the  ground,SDG12
5 By 2030 achieve full and productive employment and decent work for all women and men including  for young people and persons with disabilities and equal pay for work of equal value,SDG8
 civil society and the private sector and on the other measuring how effectively development partners  deliver their support,SDG10
 River basin management plans under the Water Framework   Directive aim to achieve good ecological and chemical status for most water bodies by 2033   or earlier,SDG15
 The resulting  research networks form the international core of the Platform for the Future of the City see  above,SDG8
               40                  41   3,SDG13
   − Frequent inspection of large air conditioning systems and central heating systems with  boiler,SDG14
 Between 2010 and 2015 alone Malaysia’s road   network increased 58 per cent providing accessibility   mobility and connectivity that accelerated the growth   of cities as well as urban and rural areas,SDG5
 A large part 78 of the   Belgian population reports to be in good health which is a   better result than the EU15 average,SDG9
 Ensure healthy lives and promote wellbeing for all at   all ages ,SDG14
4    Strengthen informal amateur alternative contemporary cultural practices   as well as cultural industries in Montenegro SDG 11 11,SDG2
 The   National SDG Council reports to the UN via the    Highlevel Political Forum,SDG10
      The Uganda Vision 2040   The Uganda Vision 2040 provides the overall guiding framework on sustainable development   and socioeconomic transformation for Uganda,SDG9
 A comprehensive and reliable verification and control system was established that allows for  the provision of targeted benefits to citizens who genuinely need the assistance,SDG17
 The first MDGs Report  of Turkey contributed significantly to the shaping of the country’s development  policies and provided valuable input in preparation of the 9th Development  Plan,SDG3
 In 2011 Egypt prepared a national adaptation strategy that surveyed all the   risks the country will face due to climate change as well as plans of how to adapt to those   risks,SDG8
 This   is further supplemented by other sectoral plans and policies such as the National Policy for   Biological Diversity 2016–2025,SDG5
          Source Oxford Poverty and Human Development Initiative OPHI Country Briefing December 2016,SDG1
 Youth not in employment education or training  Percentage of the population aged 1824  Belgium  Source Statistics Belgium Eurostat LFS  EU28  Definition This indicator is the share of 18 to 24 years old that  are neither in employment nor in education and training in the  total population of that age group,SDG4
 However as a result of the high population growth rate the absolute   number of people living below the poverty line has not reduced significantly,SDG10
 The purpose of the review is to highlight the challenges  where increased efforts are needed as well as to share positive examples regarding Sustainable  Development Goals,SDG15
3     Ensure social stability and reduce poverty rate SDG 10 10,SDG14
 Define a coherent action framework supply and demand for the energy transition  ,SDG16
  The main goal of Finnish development policy is to eliminate extreme poverty  and reduce poverty and inequality in general,SDG1
 The system now comprises social  insurance social security benefits and social welfare and health care services,SDG9
           REDUCE INEQUALITY WITHIN AND AMONG COUNTRIES   The wealthiest 10 of  households own    48 of assets  whereas the poorest 50   of households own    7 of assets  INSEE 2010         33                                                                                      COMBATING INEQUALITY OVERSEAS  Regional inequality is a particularly sensitive issue  in French overseas territories especially with  regard to access to employment and training  housing and healthcare,SDG3
 34  8 Development Cooperation Setting of Turkey and Possible Partnerships for  Future Collaboration ,SDG16
   Malaysia is also committed to develop statistical capacity   to measure an additional 32 indicators proposed by   the United Nations Educational Scientific and Cultural   Organization UNESCO to supplement the global   indicators in support of more indepth thematic analysis   on education Goal 4,SDG8
 In 60 countries 74 priorities  targets and indicators can be found in a single strategic planning document,SDG12
   Over the past 10 years Cypriot CSOs with an expanded and outward outlook and scope have  had to develop particular affordances through their collaboration with governmental bodies in  order to be utilized for the benefit of greater goals e,SDG8
  1   P  ro po  rt io  n  of   ti m  e  sp  en t   on  u  np ai  d  do  m es  tic  a  nd  c  ar e   w or  k    by  s  ex  a  ge  a  nd  lo  ca tio  n   Ye s   N o   ba se  lin e   Ca n   be  d  er iv  ed    Pr om  ot e   w om  en  e  co no  m ic    em  po w  er m  en t t  hr ou  gh    en tr  ep re  ne ur  sh ip   s ki  lls    pr ov  is io  n  of   in ce  nt iv  es  a  nd    en ha  nc in  g  th  ei r p  ar tic  ip at  io n   5,SDG4
 Combat human trafficking at international level     ISSUES AND ACTIONS      IN FRANCE   In the international arena France is playing its part in  peacebuilding and peacekeeping operations under United  Nations mandates as a permanent member of the  Security Council,SDG3
 Some of the key initiatives include     ,SDG7
 The satellite will enable for example schools hospitals and   health clinics in remote locations to have access to broadband internet   allowing the exchange of information,SDG3
  Young people are natural and special custodians of a    15 year Agenda aiming to transform our world,SDG16
 Improve the regions road electricity and water infrastructure as well as  production skills to promote agriculture fishing agroprocessing light  manufacturing tourism and mining   ,SDG8
1 By 2030 ensure that all girls and boys complete free equitable and quality primary and secondary  education leading to relevant and effective learning outcomes,SDG3
 In an open online dialogue and numerous special events proposals were advanced which were subsequently complied in the form of  a Charter along with recommendations,SDG4
 This will restore trust  confidence and mutual respect in global partnerships,SDG8
  Building on the inputs and momentum received from   the mapping exercise the process of formulating the   Roadmap started in late February 2017 and included  ,SDG11
 It also made  improvements in the release of resources according to agreed schedules MOPAN 2013,SDG4
 A guideline was developed to   direct the formulation of these indicators during   the first SDGs technical workshop organized in   the country in December see guideline in Box   2,SDG5
 Annual forecasting seems to overestimate   the implementation and absorption capacity   of  the countries with weaker institutions   and public administration,SDG4
 tracking climbing surfing diving boating sport fishing etc,SDG12
 In terms of economic policy the challenge  lies in finding new ways of creating employment and maintaining wellbeing,SDG8
            25	 	  Support for other countries   In cooperation with developing countries the targets that build on the Millennium Development Goals are still the priority fields of action “unfinished business” of the MDGs including improving maternal and child health ensuring access to sexual and reproductive health  services and realising reproductive rights as well as eradicating and fighting communicable  diseases,SDG3
   However prevalence of anemia in pregnant mother and prevalence of under five and undertwo stunting are still high,SDG3
 The Law on  Biodiversity Protection established the legal basis for the conservation and  sustainable use of biodiversity and for achieving targets of the Convention  on Biological Diversity,SDG15
 The objective is to improve hu man health climate ecosystems and the environment,SDG8
 This alignment ensures adequate attention to the underlying challenges to   economic growth and development,SDG17
5    Establish the mechanisms of intersectorial cooperation for the purpose of the   improvement of population health SDG 11 11,SDG12
    The Project included among other actions the following   ,SDG6
 Analysis of the  availability of data is ongoing with regard to the remaining indicators Figure 6,SDG14
 It is planned to raise the proportion of development  cooperation provided to these countries by 2020 and on average by 9 from the Development  Cooperation Budget of the Ministry of Foreign Affairs considering the current budget that would  be one million EUR or 0,SDG2
 Lastly France will allocate nearly  €400 million more in grants by 2020 compared with their current level,SDG3
 Assessment of institutional capacity covers   coordination of planning and budgeting with delivery of goods and services ability to plan at sector and departmental levels and   whether the necessary institutional technical and human resources are in place to enable implementation to achieve the expected results   AfCoPMfDR 2015 13,SDG17
6 The context of military occupation of the country’s two regions – Abkhazia and  Tskhinvali regionSouth Ossetia – by the neighbouring country and the continued stationing of the troops  in offensive military posture is an important policy imperative for any government,SDG4
 Women and girls constitute the majority  but still face unacceptable levels of   exclusion in socioeconomic activities a   vast proportion of those engaged are   unpaid a situation more pronounced in   the rural areas thus affirmative action   should be promoted while government   sustains efforts at giving special support   to girl child education,SDG3
 Drafting process is coordinated   and technically supervised by the Ministry of Sustainable Development and   Tourism i,SDG4
   Also related to employment the Federation of Egyptian Industries’ initiative of “Equal for a   better living” which aims at providing 1000 employment opportunities in private sector for   persons with disabilities     The allocation of a number of cellblocks for the prisoners with disabilities in three  prisons according to the Ministry of Internal Affairs MoIA,SDG4
20 per cent of ODAGNI to least developed countries ODA  providers are encouraged to consider setting a target to provide at least 0,SDG8
 Nitrates in river water  mg NO3Nl  Belgium  Source European Environmental Agency  EU28  Definition average concentration of nitrates in river water  estimated by averaging the concentrations measured at 36  stations spread all over Belgium,SDG11
   37 Current transactions balance in 2015 was 13,SDG10
    V o  lu n  ta ry   n a ti  o n  a l  re  v ie  w  o  n  t  h e  s  u st  a in  a b  le  d  e v e  lo p  m e  n t   g o  a ls  V o  lu n  ta ry   n a ti  o n  a l  re  v ie  w  o  n  t  h e  s  u st  a in  a b  le  d  e v e  lo p  m e  n t   g o  a ls  68 69  E R  A D  IC A  T IN  G  P  O V  E R  T Y   A N  D  P  R O  M O  T IN  G  P  R O  S P  E R  IT Y   I N   A  C  H A  N G  IN G   W O  R L  D  E R  A D  IC A  T IN  G  P  O V  E R  T Y   A N  D  P  R O  M O  T IN  G  P  R O  S P  E R  IT Y   I N   A  C  H A  N G  IN G   W O  R L  D  BACK TO THE TABLE OF CONTENTS BACK TO THE TABLE OF CONTENTS   STRENGTHEN THE MEANS  OF IMPLEMENTATION  AND REVITALIZE THE  GLOBAL PARTNERSHIP  FOR SUSTAINABLE  DEVELOPMENT  The Sustainable Development Goal that prescribes strengthening   the means of implementation and revitalizing the global partnership   for sustainable development differs from other Goals as it focuses on   ensuring the means for each country to achieve the SDGs,SDG11
 It  will also ensure engagement of stakeholders,SDG1
 Linkages can further be  found with the European strategic initiatives programmes and policies varying from the  Investment Plan for Europe ‘Juncker Plan’ covering strategic investments in infrastructure  research and innovation the Roadmap to a Single European Transport Area towards a  Competitive and ResourceEfficient Transport System the EU Regulation on guidelines for the  development of the transEuropean transport network the Connecting Europe Facility funding  resilient networks and infrastructures in transport telecommunications and energy the  Framework Programme for Research and Innovation Horizon 2020 the Digitizing European  Industry DEI initiative the European Commissions Digital Single Market Strategy 20142020 to  the recent draft of the Council of the European Union Conclusions on  ‘The Future of the  European Union Industry Policy’,SDG4
 Methodology and process for preparation of the review ,SDG10
   The ICT sector in Kenya has been growing at a very fast rate mainly driven by the private  sector,SDG2
 28   Annex 2Sierra Leone Specific SDGs Indicators ,SDG10
8    Strengthen the capacity of cultural institutions at all levels and establish   sustainable funding system SDG 8 8,SDG1
 Women representative in legislative and executive institutions is still low,SDG16
 Strengthening a reliable   civil registry in Senegal and Mali is also the objective of a   largerscale project through the EU’s Emergency Trust   Fund to which Belgium contributes 16,SDG11
    At present 40  of the members of the Storting Norwegian parliament are women,SDG10
 Gender and social healthrelat ed inequalities are crosscutting points of attention in   these efforts,SDG16
  According to Population Council surveys of young people   in Egypt 24   which were conducted in 2009 and 2014 before and after the uprisings Egyptian   young people today are much more likely to vote more likely to use the internet and other   media less likely to work for the Government or in the private sector less likely to aspire to   migrate outside of Egypt more likely to prefer a larger family size and less likely to use   contraception,SDG4
6 and consequently also for corruption and bribery target   16,SDG16
 PPPs will be encouraged and promoted in the provision of   infrastructure and energy as well as undertakings which require substantial financial resource   outlays in line with the Public Private Partnerships Act 2015,SDG17
   IV     SDGs has been  mainstreamed in  the National  MediumTerm  Development Plan  RPJMN 20152019   Indonesian SDGs implementation is expected to be relatively at ease since  the RPJMN coincided with SDGs preparation,SDG3
 DAC members need to identify good practice while also  strengthening their support to national efforts to build strong human resources and organisational  capacity,SDG17
 Poverty levels in Kenya are currently 45,SDG6
3    M ob  ili ze   a dd  iti on  al  fi  na nc  ia l   re so  ur ce  s  fo  r d ev  el op  in g   co un  tr ie  s  fr  om  m  ul tip  le  s  ou rc  es    17 ,SDG4
 The industry is treated in the   context of the strategic objectives dedicated to the growth of competitiveness of   the Montenegrin economy,SDG12
   Bangladesh has been successful in achieving significant poverty reduction since 1990,SDG1
6    Enhance the quality of products and services in the context of establishing the   space for the creation of green jobs SDG 12 12,SDG15
 The national HIV response has been a leading example in establishing an inclusive  response fostering multisectoral partnerships and pursuing innovative approaches,SDG11
52 of GNI an increase of CHF 182 million over 2014,SDG7
1a Development partners use countrygovernmentled results frameworks Alignment of new interventions to national priorities ,SDG3
 The implementation of the  preferential procurement policies affirmative action on government procurement supports  enterprises run by the vulnerable and thereby creating jobs and employment opportunities,SDG8
  An extensive chapter on the progress towards the achievement of each SDG forms the core of  the review,SDG14
 The aim is that the Parliament conducts  a topical debate in the autumn of 2016 on its role in promoting sustainable  development,SDG4
1  P  ro po  rt io  n  of   c hi  ld re  n  un  de r 5   y ea  rs  o  f a ge   w ho  se  b  irt hs    ha  ve  b  ee n   re gi  st er  ed  w  ith  a   c iv  il  au  th or  ity  b  y  ag  e   Ye s   29 ,SDG3
   VOLUNTARY COMMITMENTS  Economic players are committing to the  fight against climate change especially in  the transport sector through the Objective  CO2 charter for the road transport industry  and the road builders’ convention on  voluntary commitments to conserve nonrenewable resources and reduce  greenhouse gas emissions,SDG11
   Norway is among the countries with the highest levels of greenhouse gas emission efficiency   in other words where emissions per unit of GDP are lowest,SDG8
 Data not available        Goa l   INDICAT OR   INDICATOR Description UNITS BASELINE  DATA  20092014   2015 2016 Remarks   violence   16 16,SDG2
               156               157   6,SDG17
             51   EARLY LEAVING FROM EDUCATION AND   TRAINING    The indicator of early leaving from education and training  measures the proportion of young people aged 1824  who are no longer in education have not successfully  completed upper secondary education and have not been  in training in the past four months,SDG4
 In the 2017VNR gender is a strengthening factor in health   sector basic services education politics and managerial technology financial   services including microfinance verified with segregated data,SDG4
1 Number of new HIV infections per 1000  uninfected population by sex age and key  populations   0,SDG11
33m   Y VALUE   Y VALUE   Y VALUE   Y VALUE   Y VALUE   500000  1000000  1500000  2000000  2500000  3000000  0  0,SDG3
 With our effort to foster sustainable   development goals we aim to contribute our knowledge to the community of nations and to learn from the   best efforts of the others,SDG10
 We have shown ourselves ready to stand shoulderto   2     shoulder with the UN in promoting peace and security internationally,SDG2
       27      There is a good enabling environment for creating ownership of the SDGs and for integrating the   SDGs in the country’s national development frameworks,SDG16
    Internationally Norway provides financial and inkind support to developing countries to   improve their technical capacity and strengthen their institutions through the Millennium   Ecosystem Assessment the Global Green Growth Institute and the UN Partnership for Action   on Green Economy,SDG16
  pe  da go  gi ca  l t ra  in in  g  p  re s  er vi  ce  o  r  in  s er  vi ce   re qu  ire d   fo r t  ea ch  in g   at    th e   re le  va nt   le ve  l i n   a  gi  ve n   co un  tr y   N o   N o   ba se  lin e   D at  a  ga  p      G  oa l   5  A  ch ie  ve  g  en de  r e qu  al it  y  an  d  em  po w  er  a  ll  w  om en   a nd   g ir  ls                   Re du  ce  th  e  ra  te  o  f  di  sc rim  in at  io n   an d   m ar  gi na  lis at  io n   by  4    b  y  20  20    5,SDG11
  11  By a trade union and financially supported by the federal ministry for Employment,SDG10
 Readiness and ability of national   institutions to accept the indicators was being assessed in the first place followed   by the planning of the dynamics for the introduction of the indicators from the UN   List into the national reporting system,SDG3
 All sections of the population are able to participate in the life of society,SDG9
       Reshaping international development cooperation strategy in line with the SDGs is  also important,SDG12
 Restore and maintain the integrity and functionality of degraded fragile  ecosystems,SDG9
 Cyprus has prepared a National Biodiversity Strategy which  includes actions and measures for all ecosystems forest freshwater grassland etc,SDG2
 While all households in Cyprus are connected to   public water supply with improved sanitation facilities the primary objective at national level is  ensuring availability of water for all uses to the maximum extent possible in the framework of  an integrated and sustainable water policy,SDG8
 The German Government is also looking at ways of involving the concerns of civil society to an even greater degree,SDG17
2 Proportion of SMEs accessing loans from financial   institutions              8,SDG8
 D  ec re  as e   in  le  ve l o  f  po  llu tio  n  of   la rg  e  w  at er    bo  di es   C ,SDG17
2  Proportion of births attended by  skilled health personnel   Percent 61,SDG5
      National priorities   The main level of the implementation process of the 2030 Agenda being undoubtedly the national one each   country has to establish how the SDGs should be implemented,SDG5
 The key features of these  demonstrators are a small carbon  footprint energy selfsufficiency the  circular economy water protection the  restoration of biodiversity functional and  social diversity and community  involvement,SDG4
   Disability issues and stigmatization     ,SDG7
html	    18	 	  strengthen the nationwide networking of sustainability initiatives launched by federal state  and local governments,SDG4
  Resources needed In consideration of the work outlined above Malaysia   will need funding and technical assistance to develop   national indicators and baselines to assess the progress   of the 2030 Agenda and SDGs,SDG17
 Until that day comes however civil society  organizations need to collaborate as closely as possible in order to be able to maximize their  cumulative impact,SDG17
4 Areas of critical challenge and bottlenecks identified   With a view to achieving sustainable development goals Montenegro needs to have   adequate response to the key problems related to the use and management of   national resources,SDG12
 Countries participating in  the 2016 monitoring round reported that 83 of all funds scheduled for the public sector was disbursed  as planned within the fiscal year of reference falling short of the Busan target of 90 and below the  2010 level,SDG5
 The Sixth Plan for Industrial Technology   Innovation  ,SDG8
   Stakeholder feedback through these consultations  was integrated into Switzerland’s position on engagement regarding the 2030 Agenda,SDG14
   Among groups of bilateral development partners DAC members provide a lower average share of onbudget  support than other bilateral partners do 62 compared to 74 respectively Figure 5,SDG17
 Achieve gender equality and empower all women and girls ,SDG10
     Efforts to ensure that no one is left behind on the global front 1 Humanitarian  Assistance   In order to mainstream the principle of leaving no one behind in the implementation  process of the SDGs in international development cooperation the ROK places top priority on  the most vulnerable groups such as children women and refugees in crisis settings and has   																																																								 3 Korea Disabled People’s Development Institute,SDG11
 France has been closely involved in the process to define global indicators to monitor the  Sustainable Development Goals,SDG15
 National Frameworks for Domestic Implementation	,SDG1
  The six general  objectives of the Digital Strategy are 1 Connect Cyprus 2 Modernize public administration  and provide public electronic services 3 Inclusion of all including vulnerable groups into digital  Cyprus 4 Education and Learning 5 Digital Entrepreneurship and 6 ICT for the environment,SDG3
 The confidence in national institutions index was 51 in 2014 which is   relatively low compared to the OECD average and far behind countries such as   Luxembourg Norway Sweden and Switzerland,SDG10
       CARBON FOOTPRINT    The carbon footprint measures greenhouse gas GHG  emissions induced by the consumption of the population  living in the country,SDG9
 Wallonia’s Employment   Environment Alliance on sustainable construction   aims to turn the improvement of the environment into   a source of economic opportunities and job creation,SDG12
 implementation of public policies through the achievement of strategic tasks           27   based on integrated problem analysis coordinated actions of the different sectors   and achievement of synergy effect    Urgent response having in mind that achievement of sustainable economic   social and territorial cohesion in the development of Montenegro depends   on the successful problem solving    Use of coordination mechanisms in solving intersector conflicts at the strategic   sectorlevel and horizontal strategies plans and programs and operational level   projects    Increased efficiency effectiveness and transparency of the governance process,SDG17
Overweight and Obesity Trendin Adults Age 18 Years  Note  Results of Sirkesnas Interim Analysis 2016   Source Riskesdas  2010 and 2013 Sirkesnas 2016      10,SDG2
 It works with  a range of players its operators such as the French Agency  for Development AFD and Expertise France and civil  society,SDG17
   However due to funding shortfalls there have been significant reductions in Egypt’s ability   to support both the refugee and host community population under the 3RP,SDG3
 The EstWin project  aiming to cover Estonia with superfast broadband will be continued in cooperation with the  telecommunications operators,SDG5
 Egyptian Environmental Affairs Agency Egypt State of Environment Report 2012,SDG2
 The purpose of this review therefore is to   demonstrate Uganda’s readiness towards the implementation of the Agenda and map out   next steps required to achieve the Agenda,SDG2
6 EAI World Energy Statistics 2015 falling   far short of the 2030 target values,SDG2
 The State of Paraíba includes among   its actions in support of the SDG Agenda a Pact for Learning aimed at   improving social indicators in the Municipalities of the State,SDG12
 Spending on development cooperation continues to  be one of the German Government’s top priorities,SDG10
    According to the Smart Specialisation Strategy for Cyprus set in 2015 investment in research and  development as a percentage of GDP amounted to 0,SDG11
6 Encourage companies especially large and transnational companies to  adopt sustainable practices and to integrate sustainability information into   their reporting cycle   12,SDG16
1 Proportion of seats held by women in national parliaments and  local governments  6,SDG5
 Today the Convention has become one   of the most ratified treaties of the United Nations,SDG8
 The project encourages businesses to  create mother and baby friendly spaces which includes the creation of a lactation station for  lactating mothers,SDG4
   At the same time through the National Reform Programme key horizontal and sector–specific  policy actions are being promoted aiming to address key economic challenges in order to achieve  smart sustainable and inclusive growth,SDG2
 Cooperating with concerned countries to combat terrorism  6 reengineering economic growth for  greater prosperity  Reflections on lessons learned and emerging  trends In retrospect Malaysia has risen from the ranks of a low income economy in the 1970s to a highmiddleincome   economy today by emphasising the fundamentals   for the economy and social development,SDG3
 3   M or  ta lit  y  ra  te  a  tt rib  ut ed   to    un in  te nt  io na  l p oi  so ni  ng    N o   N o   ba se  lin e   D at  a  ga  p   Sc al  e  up   d em  an d   re du  ct io  n  m  ea su  re s   fo r t  ob ac  co    al co  ho l a  nd  d  ru g   us e,SDG17
   Portuguese Cooperation considers the investment in the field of the education training and science as   structural for the development of the human and social capital of the partner countries in order to have a   multiplying effect with a view to achieve sustainable development,SDG16
 The VNR was prepared involving 4 national SDGs   platforms government civil society organizations philanthropy and business   and academia and experts,SDG17
 Prepare and finalize an engagement framework between Government and Non State   Actors on the SDGs,SDG2
   This condition creates constrains to ministriesgovernment   institutions to do data processing and management effectively,SDG9
 More housing services and an  increased quota for mandatory employment also reflect the ROK government’s commitment  to leaving no one behind,SDG16
 The total expenditure per capita in Kshs,SDG10
2 The National Budget Sierra Leone’s  Agenda for Prosperity and the SDGs  The SDGs constitute a major policy thrust in   Sierra Leone‟s National Budget for 2016 Fiscal   Year,SDG14
 Due to institutional transformations underway in the  framework of the restructuring of the public service and the possible creation of State Ministries  which are still being discussed in the House of Representatives the coordination of both the  domestic and the external aspect of Agenda 2030 still remains under the Ministry of Foreign  Affairs given its wider knowledge of the issue at hand,SDG17
  Hence it will be possible to assess the progress in implementing Agenda 2030 based on the future  indicatorbased monitoring reports and to highlight the challenges where increased efforts are  needed,SDG9
